Row,Comparison,DM_Statistic,P_Value
۱,Baseline_vs_GBM_1_AutoML_1_20251126_25122,0.6653996589566137,0.5057949030203965
۲,Baseline_vs_GLM_1_AutoML_1_20251126_25122,2.4257673303641254,0.015276060386985257
۳,Baseline_vs_GBM_2_AutoML_1_20251126_25122,-1.3993141604745345,0.16171879511041487
۴,Baseline_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_3,-3.0367503347094145,0.0023914344143622923
۵,Baseline_vs_GBM_3_AutoML_1_20251126_25122,-0.7631301871877153,0.4453857585744849
۶,Baseline_vs_GBM_grid_1_AutoML_1_20251126_25122_model_2,-3.42707529344232,0.000610119873019288
۷,Baseline_vs_GBM_4_AutoML_1_20251126_25122,-1.6314963480706122,0.10278562980370953
۸,Baseline_vs_GBM_5_AutoML_1_20251126_25122,-1.0918131089903307,0.27491525589945986
۹,Baseline_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_4,-4.581939966068494,4.606821617070267e-06
۱۰,Baseline_vs_XGBoost_3_AutoML_1_20251126_25122,-3.4495272011202007,0.000561569151229957
۱۱,Baseline_vs_XGBoost_2_AutoML_1_20251126_25122,-5.802801480591554,6.521598816533469e-09
۱۲,Baseline_vs_GBM_grid_1_AutoML_1_20251126_25122_model_1,-0.8158585357015284,0.4145810496220559
۱۳,Baseline_vs_XGBoost_1_AutoML_1_20251126_25122,-5.667427947362308,1.4495697975291932e-08
۱۴,Baseline_vs_DRF_1_AutoML_1_20251126_25122,-5.689264031070094,1.2758806455792637e-08
۱۵,Baseline_vs_XRT_1_AutoML_1_20251126_25122,-6.139960694346293,8.254190664302996e-10
۱۶,Baseline_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_5,-10.972121812166094,0.0
۱۷,Baseline_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_2,-18.164154896033246,0.0
۱۸,Baseline_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_1,-20.39107843707059,0.0
