Row,Model_Name,RMSE,MAE,R2_Score,MAPE,Directional_Accuracy
۱,GBM_1_AutoML_1_20251126_25122,0.002015199241128809,0.0012496637209442989,0.9276623890746629,6400966.0395675,62.9247572815534
۲,GLM_1_AutoML_1_20251126_25122,0.0019440194197084335,0.001329931662506819,0.9326822832433965,21133208.373766113,62.98543689320388
۳,GBM_2_AutoML_1_20251126_25122,0.002182624204039662,0.0013347637605058955,0.9151433048965348,3531335.470517011,62.439320388349515
۴,XGBoost_grid_1_AutoML_1_20251126_25122_model_3,0.0023505722734726165,0.001503479481655814,0.9015818045918813,6522423.70003617,62.13592233009708
۵,GBM_3_AutoML_1_20251126_25122,0.002131888962490744,0.001305677134304435,0.9190424528108648,1459365.0920107514,62.5
۶,GBM_grid_1_AutoML_1_20251126_25122_model_2,0.002386830402369669,0.001420660133925058,0.8985221396592453,237595.82361725892,61.58980582524271
۷,GBM_4_AutoML_1_20251126_25122,0.0022131664648502654,0.0013322321283238683,0.9127518270416665,954151.4348768898,62.317961165048544
۸,GBM_5_AutoML_1_20251126_25122,0.0021623113604325433,0.0013254489652896097,0.9167154124142787,3811875.1150262477,62.74271844660194
۹,XGBoost_grid_1_AutoML_1_20251126_25122_model_4,0.0025395069307938044,0.0015288852352847773,0.8851246138352281,106889.22557171209,61.6504854368932
۱۰,XGBoost_3_AutoML_1_20251126_25122,0.002342385924896786,0.0015098508471441576,0.9022661338340627,6408188.036568891,61.286407766990294
۱۱,XGBoost_2_AutoML_1_20251126_25122,0.002598428812863638,0.0017009737602083337,0.8797320728008076,6889468.445543958,60.740291262135926
۱۲,GBM_grid_1_AutoML_1_20251126_25122_model_1,0.0021304471475036245,0.001341176502906093,0.9191519203634193,4469010.014404313,62.25728155339806
۱۳,XGBoost_1_AutoML_1_20251126_25122,0.0025898917593558117,0.0016115347866659964,0.8805210473338269,5056844.70803579,60.43689320388349
۱۴,DRF_1_AutoML_1_20251126_25122,0.0026823299011184427,0.0016050224643975393,0.8718399815553235,8266.835749995485,59.95145631067961
۱۵,XRT_1_AutoML_1_20251126_25122,0.0027160222577507654,0.0016569119060641858,0.8686001623121616,64285.999823673636,59.40533980582524
۱۶,XGBoost_grid_1_AutoML_1_20251126_25122_model_5,0.003151282202103584,0.0023958400190146347,0.8231102073989187,52099287.738365985,58.79854368932039
۱۷,XGBoost_grid_1_AutoML_1_20251126_25122_model_2,0.0045474647220054,0.0033923210408150534,0.6316447562533019,43750618.79709516,52.54854368932039
۱۸,XGBoost_grid_1_AutoML_1_20251126_25122_model_1,0.005324531762352844,0.004415818478139692,0.49500041225484315,121296104.74990602,51.51699029126213
